elevation,pps
209,POINT (40.252916666666671 48.082083333333337)
207,POINT (40.252916666666671 48.082361111111112)
208,POINT (40.252916666666671 48.082638888888894)
209,POINT (40.252916666666671 48.082916666666669)
212,POINT (40.252916666666671 48.083194444444445)
214,POINT (40.252916666666671 48.083472222222227)
215,POINT (40.252916666666671 48.08375)
217,POINT (40.252916666666671 48.084027777777777)
219,POINT (40.252916666666671 48.084305555555559)
217,POINT (40.252916666666671 48.084583333333335)
217,POINT (40.252916666666671 48.084861111111117)
216,POINT (40.252916666666671 48.085138888888892)
218,POINT (40.252916666666671 48.085416666666667)
219,POINT (40.252916666666671 48.085694444444449)
221,POINT (40.252916666666671 48.085972222222225)
220,POINT (40.252916666666671 48.08625)
221,POINT (40.252916666666671 48.086527777777782)
222,POINT (40.252916666666671 48.086805555555557)
223,POINT (40.252916666666671 48.087083333333332)
223,POINT (40.252916666666671 48.087361111111115)
224,POINT (40.252916666666671 48.08763888888889)
225,POINT (40.252916666666671 48.087916666666672)
225,POINT (40.252916666666671 48.088194444444447)
225,POINT (40.252916666666671 48.088472222222222)
225,POINT (40.252916666666671 48.088750000000005)
223,POINT (40.252916666666671 48.08902777777778)
221,POINT (40.252916666666671 48.089305555555555)
220,POINT (40.252916666666671 48.089583333333337)
220,POINT (40.252916666666671 48.089861111111112)
217,POINT (40.252916666666671 48.090138888888895)
216,POINT (40.252916666666671 48.09041666666667)
217,POINT (40.252916666666671 48.090694444444445)
217,POINT (40.252916666666671 48.090972222222227)
217,POINT (40.252916666666671 48.09125)
216,POINT (40.252916666666671 48.091527777777777)
214,POINT (40.252916666666671 48.09180555555556)
212,POINT (40.252916666666671 48.092083333333335)
211,POINT (40.252916666666671 48.09236111111111)
211,POINT (40.252916666666671 48.092638888888892)
211,POINT (40.252916666666671 48.092916666666667)
213,POINT (40.252916666666671 48.09319444444445)
212,POINT (40.252916666666671 48.093472222222225)
212,POINT (40.252916666666671 48.09375)
213,POINT (40.252916666666671 48.094027777777782)
213,POINT (40.252916666666671 48.094305555555557)
211,POINT (40.252916666666671 48.094583333333333)
210,POINT (40.253194444444446 48.082083333333337)
208,POINT (40.253194444444446 48.082361111111112)
207,POINT (40.253194444444446 48.082638888888894)
209,POINT (40.253194444444446 48.082916666666669)
211,POINT (40.253194444444446 48.083194444444445)
214,POINT (40.253194444444446 48.083472222222227)
215,POINT (40.253194444444446 48.08375)
216,POINT (40.253194444444446 48.084027777777777)
219,POINT (40.253194444444446 48.084305555555559)
219,POINT (40.253194444444446 48.084583333333335)
220,POINT (40.253194444444446 48.084861111111117)
217,POINT (40.253194444444446 48.085138888888892)
220,POINT (40.253194444444446 48.085416666666667)
219,POINT (40.253194444444446 48.085694444444449)
221,POINT (40.253194444444446 48.085972222222225)
221,POINT (40.253194444444446 48.08625)
222,POINT (40.253194444444446 48.086527777777782)
223,POINT (40.253194444444446 48.086805555555557)
224,POINT (40.253194444444446 48.087083333333332)
224,POINT (40.253194444444446 48.087361111111115)
224,POINT (40.253194444444446 48.08763888888889)
225,POINT (40.253194444444446 48.087916666666672)
224,POINT (40.253194444444446 48.088194444444447)
224,POINT (40.253194444444446 48.088472222222222)
224,POINT (40.253194444444446 48.088750000000005)
224,POINT (40.253194444444446 48.08902777777778)
221,POINT (40.253194444444446 48.089305555555555)
221,POINT (40.253194444444446 48.089583333333337)
219,POINT (40.253194444444446 48.089861111111112)
217,POINT (40.253194444444446 48.090138888888895)
216,POINT (40.253194444444446 48.09041666666667)
218,POINT (40.253194444444446 48.090694444444445)
218,POINT (40.253194444444446 48.090972222222227)
215,POINT (40.253194444444446 48.09125)
215,POINT (40.253194444444446 48.091527777777777)
214,POINT (40.253194444444446 48.09180555555556)
212,POINT (40.253194444444446 48.092083333333335)
212,POINT (40.253194444444446 48.09236111111111)
213,POINT (40.253194444444446 48.092638888888892)
214,POINT (40.253194444444446 48.092916666666667)
214,POINT (40.253194444444446 48.09319444444445)
213,POINT (40.253194444444446 48.093472222222225)
213,POINT (40.253194444444446 48.09375)
213,POINT (40.253194444444446 48.094027777777782)
212,POINT (40.253194444444446 48.094305555555557)
211,POINT (40.253194444444446 48.094583333333333)
211,POINT (40.253472222222221 48.082083333333337)
210,POINT (40.253472222222221 48.082361111111112)
208,POINT (40.253472222222221 48.082638888888894)
209,POINT (40.253472222222221 48.082916666666669)
210,POINT (40.253472222222221 48.083194444444445)
216,POINT (40.253472222222221 48.083472222222227)
214,POINT (40.253472222222221 48.08375)
216,POINT (40.253472222222221 48.084027777777777)
217,POINT (40.253472222222221 48.084305555555559)
220,POINT (40.253472222222221 48.084583333333335)
221,POINT (40.253472222222221 48.084861111111117)
223,POINT (40.253472222222221 48.085138888888892)
223,POINT (40.253472222222221 48.085416666666667)
220,POINT (40.253472222222221 48.085694444444449)
222,POINT (40.253472222222221 48.085972222222225)
223,POINT (40.253472222222221 48.08625)
223,POINT (40.253472222222221 48.086527777777782)
224,POINT (40.253472222222221 48.086805555555557)
225,POINT (40.253472222222221 48.087083333333332)
224,POINT (40.253472222222221 48.087361111111115)
225,POINT (40.253472222222221 48.08763888888889)
225,POINT (40.253472222222221 48.087916666666672)
225,POINT (40.253472222222221 48.088194444444447)
224,POINT (40.253472222222221 48.088472222222222)
224,POINT (40.253472222222221 48.088750000000005)
224,POINT (40.253472222222221 48.08902777777778)
221,POINT (40.253472222222221 48.089305555555555)
221,POINT (40.253472222222221 48.089583333333337)
220,POINT (40.253472222222221 48.089861111111112)
219,POINT (40.253472222222221 48.090138888888895)
218,POINT (40.253472222222221 48.09041666666667)
218,POINT (40.253472222222221 48.090694444444445)
218,POINT (40.253472222222221 48.090972222222227)
216,POINT (40.253472222222221 48.09125)
216,POINT (40.253472222222221 48.091527777777777)
214,POINT (40.253472222222221 48.09180555555556)
211,POINT (40.253472222222221 48.092083333333335)
214,POINT (40.253472222222221 48.09236111111111)
215,POINT (40.253472222222221 48.092638888888892)
214,POINT (40.253472222222221 48.092916666666667)
214,POINT (40.253472222222221 48.09319444444445)
215,POINT (40.253472222222221 48.093472222222225)
214,POINT (40.253472222222221 48.09375)
214,POINT (40.253472222222221 48.094027777777782)
212,POINT (40.253472222222221 48.094305555555557)
213,POINT (40.253472222222221 48.094583333333333)
212,POINT (40.253750000000004 48.082083333333337)
210,POINT (40.253750000000004 48.082361111111112)
208,POINT (40.253750000000004 48.082638888888894)
210,POINT (40.253750000000004 48.082916666666669)
211,POINT (40.253750000000004 48.083194444444445)
214,POINT (40.253750000000004 48.083472222222227)
216,POINT (40.253750000000004 48.08375)
216,POINT (40.253750000000004 48.084027777777777)
218,POINT (40.253750000000004 48.084305555555559)
220,POINT (40.253750000000004 48.084583333333335)
220,POINT (40.253750000000004 48.084861111111117)
223,POINT (40.253750000000004 48.085138888888892)
225,POINT (40.253750000000004 48.085416666666667)
223,POINT (40.253750000000004 48.085694444444449)
224,POINT (40.253750000000004 48.085972222222225)
224,POINT (40.253750000000004 48.08625)
226,POINT (40.253750000000004 48.086527777777782)
226,POINT (40.253750000000004 48.086805555555557)
224,POINT (40.253750000000004 48.087083333333332)
223,POINT (40.253750000000004 48.087361111111115)
225,POINT (40.253750000000004 48.08763888888889)
226,POINT (40.253750000000004 48.087916666666672)
226,POINT (40.253750000000004 48.088194444444447)
225,POINT (40.253750000000004 48.088472222222222)
224,POINT (40.253750000000004 48.088750000000005)
224,POINT (40.253750000000004 48.08902777777778)
225,POINT (40.253750000000004 48.089305555555555)
223,POINT (40.253750000000004 48.089583333333337)
221,POINT (40.253750000000004 48.089861111111112)
221,POINT (40.253750000000004 48.090138888888895)
219,POINT (40.253750000000004 48.09041666666667)
219,POINT (40.253750000000004 48.090694444444445)
217,POINT (40.253750000000004 48.090972222222227)
217,POINT (40.253750000000004 48.09125)
215,POINT (40.253750000000004 48.091527777777777)
214,POINT (40.253750000000004 48.09180555555556)
213,POINT (40.253750000000004 48.092083333333335)
215,POINT (40.253750000000004 48.09236111111111)
216,POINT (40.253750000000004 48.092638888888892)
214,POINT (40.253750000000004 48.092916666666667)
215,POINT (40.253750000000004 48.09319444444445)
217,POINT (40.253750000000004 48.093472222222225)
216,POINT (40.253750000000004 48.09375)
215,POINT (40.253750000000004 48.094027777777782)
213,POINT (40.253750000000004 48.094305555555557)
214,POINT (40.253750000000004 48.094583333333333)
212,POINT (40.254027777777779 48.082083333333337)
210,POINT (40.254027777777779 48.082361111111112)
209,POINT (40.254027777777779 48.082638888888894)
210,POINT (40.254027777777779 48.082916666666669)
211,POINT (40.254027777777779 48.083194444444445)
